4,5.556184069,0
4,11.660828546,0
4,11.660828546,0
4,7.413728205,0
4,10.117998086,0
6,18.81422294,1
6,14.951969426,0
6,21.062720561,1
6,10.630840283,0
6,13.109731957,0
10,46.258249734,1
2,2.799321053,0
2,2.702681191,0
2,2.645724037,0
3,4.307143017,0
1,2.109935294,0
5,9.075600259,0
5,14.7602888,1
5,16.131814968,1
5,13.607545646,0
8,25.195424336,0
13,73.716945031,1
13,60.72282761,0
9,33.589701184,1
9,26.836422191,1
9,38.473564007,1
9,35.768597416,0
9,57.704530421,1
10,26.436173408,0
11,61.351456044,0
11,53.670663887,1
12,71.995463039,0
12,93.685745785,1
12,71.255684081,1
12,44.112948592,1
6,17.277667827,0
6,14.68426073,0
6,20.053710049,0
6,17.634424432,0
6,19.122180877,0
6,13.479030644,0
6,12.176185395,0
6,12.333366899,0
6,11.664616723,0
6,13.724813485,0
6,16.213214408,0
6,14.361127234,0
6,14.221129233,0
6,12.51180975,0
6,14.17372978,0
6,14.303070982,0
7,23.51567075,0
7,15.696206899,0
7,17.037791845,0
7,17.593547797,0
14,152.737155396,1
9,45.734314424,1
9,40.473170933,1
5,19.557876593,1
5,7.841201481,0
5,15.897801381,0
